,tweet,username,Clean Tweets
35,The University of Sydney's Westmead Applied Research Centre has been awarded a $1 million grant from Google to ...… https://t.co/beFpbvFRFF,AIHealth1,The University of Sydneys Westmead Applied Research Centre has been awarded a  million grant from Google to … httpstcobeFpbvFRFF
36,Thank you so much for recognizing me today during your State of the University address President Davies! It was tru… https://t.co/4i3ckeRou8,sydney_reed01,Thank you so much for recognizing me today during your State of the University address President Davies It was tru… httpstcoickeRou
37,Researchers from the University of Sydney largely thought the meals in the meals kits were healthy and only realise… https://t.co/YZo13qknBv,smh,Researchers from the University of Sydney largely thought the meals in the meals kits were healthy and only realise… httpstcoYZoqknBv
38,At @ceda_news @Chiefs4GE in Adelaide listening to Professor Rae Cooper from Sydney University Business Schòol/ pane… https://t.co/IeglpnYeDe,StephDumas1,At cedanews ChiefsGE in Adelaide listening to Professor Rae Cooper from Sydney University Business Schòol pane… httpstcoIeglpnYeDe
39,@DrWaldo2 @SirRoby1 @heavyg603 @Tactical_review @DerekEBoucher @Nunyabus99999 @Gofundyourself9 @SurvivorKitty… https://t.co/Ft7o8eRJX1,glenn_wofford,DrWaldo SirRoby heavyg Tacticalreview DerekEBoucher Nunyabus Gofundyourself SurvivorKitty… httpstcoFtoeRJX
40,Do You Have a Digital Twin? Greetings from the Spatial Futures Forum  on Intelligent Cities and Transport at the Un… https://t.co/uWWFGGegwa,tom_worthington,Do You Have a Digital Twin Greetings from the Spatial Futures Forum  on Intelligent Cities and Transport at the Un… httpstcouWWFGGegwa
41,"The @Sydney_Uni Graduate Choir presents Brahms' choral masterpiece, A German Requiem - a towering work of the chora… https://t.co/rLLRbV1wfY",classik_on,The SydneyUni Graduate Choir presents Brahms choral masterpiece A German Requiem  a towering work of the chora… httpstcorLLRbVwfY
42,Sydney University Rugby Club are seeking a Director of Women &amp; Juniors. Thank you to the generous attendees at the… https://t.co/eNyR81diLN,JosephineSukkar,Sydney University Rugby Club are seeking a Director of Women amp Juniors Thank you to the generous attendees at the… httpstcoeNyRdiLN
43,"Focus on delivering positive outcomes for #patients and the rewards will follow, 2019 UTS: University of Technology… https://t.co/bPUU5Wfqn1",pharmacydaily,Focus on delivering positive outcomes for patients and the rewards will follow  UTS University of Technology… httpstcobPUUWfqn
44,Creatine can help improve memory and intelligence along with muscle endurance according to an Australian study from the University of Sydney,FitnessRetweets,Creatine can help improve memory and intelligence along with muscle endurance according to an Australian study from the University of Sydney
45,"@BFI @MAlbadrawi Australian film 'Starstruck' had an Esther Williams moment
""Terry also gets one of the most memora… https://t.co/wIsYvodzTx",maelduin_ross,"BFI MAlbadrawi Australian film Starstruck had an Esther Williams moment
Terry also gets one of the most memora… httpstcowIsYvodzTx"
46,"TRIVIA ANSWER! April 1934, the University of Sydney held the 1st women's baseball national championships 1936 the A… https://t.co/6sHdRJyhPi",womenbaseball1,TRIVIA ANSWER April  the University of Sydney held the st womens baseball national championships  the A… httpstcosHdRJyhPi
47,"We are also particularly excited that our very own Prof Marian Baird, a global gender influencer, from University o… https://t.co/cI7kydiRMS",LeaveNetwork,We are also particularly excited that our very own Prof Marian Baird a global gender influencer from University o… httpstcocIkydiRMS
48,"Policing the Berlin Wall: the ghostly photos taken by the Stasi's hidden cameras  | Donna West Brett, University of… https://t.co/K13l6r78EQ",1RHashimoto,Policing the Berlin Wall the ghostly photos taken by the Stasis hidden cameras   Donna West Brett University of… httpstcoKlrEQ
49,"Drawing people from all across the world, #Australia has emerged as one of the top-notch education destinations in… https://t.co/l5l5eMOuM8",leverageedu,Drawing people from all across the world Australia has emerged as one of the topnotch education destinations in… httpstcolleMOuM
50,"{essentially become America's government-sponsored religion.

⚕️The Dutch Protocol

Dr. John Whitehall, Prof. of Pe… https://t.co/VUAiu9uQdR",MaquisXX,"essentially become Americas governmentsponsored religion

medicalsymbolThe Dutch Protocol

Dr John Whitehall Prof of Pe… httpstcoVUAiuuQdR"
